@id;AOD;DNI;GHI;LST;amenity;building;building_l;building_r;capacity_p;height;id;jarak_jala;jarak_poi_;name;office;luas_atap_m2;luas_efektif_m2;GHI_tahunan;potensi_energi_kwh_thn;kapasitas_sistem_kwp;biaya_investasi_rp;penghematan_tahunan_rp;waktu_balik_modal_tahun;LST_norm;AOD_norm;indeks_degradasi;cluster;n_energi;n_roi;n_jarak;skor_prioritas_akhir;ranking
way/498803488;0.485333333333333;262.599.992.752.075;463.800.001.144.409;35.886.883.748;;building;1;;;3;way/498803488;493.048.468.501.025;190.930.280.346.554;;;276.425.712.020.109;165.855.427.212.065;169.287.000.417.709;315.868.137.476.943;248.783.140.818.098;373.174.711.227.147;45.633.469.821.294;817.765.365.396.371;0.751163381952749;1;0.875581690976375;1;0.00728790642836452;0.897678631174138;0.945627201883218;0.632229464307327;11
way/498803486;0.485333333333333;262.599.992.752.075;463.800.001.144.409;3.583.156.544;;building;1;;;3;way/498803486;471.138.831.799.902;164.694.650.108.864;;;267.204.491.937.548;160.322.695.162.529;169.287.000.417.709;305.331.166.833.158;240.484.042.743.794;36.072.606.411.569;441.111.936.723.863;81.776.536.539.637;0.748572648204472;1;0.874286324102236;1;0.00704204832115244;0.897678631174145;0.948043370534515;0.632194290454325;12
way/498803250;0.485333333333333;262.599.992.752.075;463.800.001.144.409;347.937.766.131.579;;building;1;;;3;way/498803250;417.892.197.119.361;14.415.296.926.409;;;130.384.723.811.837;782.308.342.871.024;169.287.000.417.709;148.988.961.862.183;117.346.251.430.654;17.601.937.714.598;215.244.353.202.295;817.765.365.396.371;0.699969669651961;1;0.84998483482598;1;0.00339413091766257;0.897678631174138;0.995391534601531;0.632126767524265;13
way/498803483;0.485333333333333;262.599.992.752.075;463.800.001.144.409;360.540.622.657.143;;building;1;;;3;way/498803483;54.045.809.780.811;211.792.750.660.606;;;222.244.900.628.852;133.346.940.377.311;169.287.000.417.709;253.956.414.952.734;200.020.410.565.967;30.003.061.584.895;366.890.832.682.215;817.765.365.396.371;0.758992888014821;1;0.87949644400741;1;0.00584332625170636;0.897678631174138;0.940398924405868;0.631990536890486;14
way/498803489;0.485333333333333;262.599.992.752.075;463.800.001.144.409;3.573.472.154;;building;1;;;3;way/498803489;404.074.397.325.913;198.760.453.472.846;;;108.966.103.401.749;653.796.620.410.496;169.287.000.417.709;124.514.177.346.595;980.694.930.615.744;147.104.239.592.362;179.885.632.012.625;817.765.365.396.371;0.744037137826157;1;0.872018568913078;1;0.00282306316025405;0.897678631174138;0.955439156526015;0.631471024007489;15
way/498803472;0.485333333333333;262.599.992.752.075;463.800.001.144.409;3.613.121.186;;building;1;;;3;way/498803472;585.538.439.594.359;131.093.228.494.943;;;182.632.246.463.796;109.579.347.878.277;169.287.000.417.709;208.691.539.987.975;164.369.021.817.416;246.553.532.726.124;301.496.667.820.628;81.776.536.539.637;0.762606050904434;1;0.881303025452217;1;0.00478716534377116;0.897678631174145;0.935427517983227;0.631379623015913;16
way/498803487;0.485333333333333;262.599.992.752.075;463.800.001.144.409;3.573.472.154;;building;1;;;3;way/498803487;395.318.964.906.449;190.670.428.394.166;;;664.230.175.718.818;398.538.105.431.291;169.287.000.417.709;759.007.354.731.975;597.807.158.146.936;896.710.737.220.404;109.653.792.538.128;81.776.536.539.637;0.744037137826157;1;0.872018568913078;1;0.00168877046759035;0.897678631174145;0.956404695189619;0.631275566999233;17
way/498803253;0.484057742782152;262.599.992.752.075;463.800.001.144.409;346.589.333.869.291;;building;1;;;3;way/498803253;144.044.193.583.601;139.482.308.502.385;;;483.184.190.147.728;289.910.514.088.637;169.287.000.417.709;552.128.414.845.741;434.865.771.132.955;652.298.656.699.433;797.659.920.927.642;817.765.365.396.371;0.693654528977059;0.98887566379784;0.84126509638745;1;0.0128005444119914;0.897678631174138;0.984114977820686;0.631077273445804;18
way/498803482;0.485333333333333;262.599.992.752.075;463.800.001.144.409;361.517.199.800.001;;building;1;;;3;way/498803482;680.395.472.344.963;207.937.807.583.531;;;213.652.349.584.261;128.191.409.750.557;169.287.000.417.709;244.137.816.404.879;192.287.114.625.835;288.430.671.938.752;352.705.903.360.128;817.765.365.396.371;0.763566511925727;1;0.881783255962863;1;0.00561422985046748;0.897678631174138;0.924966797341734;0.630178691899357;19
way/498803485;0.485333333333333;262.599.992.752.075;463.800.001.144.409;3.602.867.126;;building;1;;;3;way/498803485;577.623.064.330.746;165.604.594.783.542;;;597.131.591.989.917;35.827.895.519.395;169.287.000.417.709;682.334.658.422.716;537.418.432.790.925;806.127.649.186.388;985.768.881.023.297;817.765.365.396.371;0.757803745797983;1;0.878901872898991;1;0.00150987081391656;0.897678631174138;0.936300416143799;0.629927081242734;20
way/498803484;0.485333333333333;262.599.992.752.075;463.800.001.144.409;360.314.347.655.319;;building;1;;;3;way/498803484;639.728.292.376.535;166.267.321.520.868;;;161.990.213.203.198;971.941.279.219.186;169.287.000.417.709;185.104.151.708.813;145.791.191.882.878;218.686.787.824.317;267.419.967.973.723;817.765.365.396.371;0.757933169623547;1;0.878966584811773;1;0.00423680311610267;0.897678631174138;0.929451525533112;0.629734005319982;21
way/498803249;0.485333333333333;262.599.992.752.075;463.800.001.144.409;3.440.511.176;;building;1;;;3;way/498803249;306.510.099.644.122;159.987.185.244.726;;;524.497.379.167.338;314.698.427.500.403;169.287.000.417.709;599.336.469.311.773;472.047.641.250.604;708.071.461.875.906;865.861.397.214.718;817.765.365.396.371;0.681767248279175;1;0.840883624139587;1;0.00131621194965008;0.897678631174138;0.996619843112104;0.629412335438849;22
way/498803248;0.485333333333333;262.599.992.752.075;463.800.001.144.409;3.440.511.176;;building;1;;;3;way/498803248;442.100.727.390.689;171.713.240.823.953;;;781.100.037.373.382;468.660.022.424.029;169.287.000.417.709;892.553.055.883.429;702.990.033.636.044;105.448.505.045.407;128.947.139.983.479;817.765.365.396.371;0.681767248279175;1;0.840883624139587;1;0.00200037134816005;0.897678631174131;0.9951245658118;0.629393291663354;23
way/498803480;0.485333333333333;262.599.992.752.075;463.800.001.144.409;360.355.073;;building;1;;;3;way/498803480;646.322.054.160.699;196.815.787.919.069;;;811.436.123.620.115;486.861.674.172.069;169.287.000.417.709;927.217.714.938.004;730.292.511.258.104;109.543.876.688.716;133.955.143.277.094;81.776.536.539.637;0.758123899471747;1;0.879061949735873;1;0.00208125405866979;0.897678631174145;0.928724373333632;0.629002109003857;24
way/498803468;0.485333333333333;262.599.992.752.075;463.800.001.144.409;3.638.072.732;;building;1;;;3;way/498803468;820.786.599.807.478;125.682.623.085.251;;;171.337.421.290.913;102.802.452.774.548;169.287.000.417.709;195.785.087.240.097;154.203.679.161.822;231.305.518.742.732;282.850.715.535.768;81.776.536.539.637;0.774291659996799;1;0.887145829998399;1;0.00448602034197816;0.897678631174145;0.909484630945164;0.628858547596211;25
way/498803478;0.485333333333333;262.599.992.752.075;463.800.001.144.409;360.355.073;;building;1;;;3;way/498803478;646.941.235.113.954;188.067.669.614.434;;;603.700.721.020.443;362.220.432.612.266;169.287.000.417.709;689.841.118.428.024;543.330.648.918.398;814.995.973.377.598;996.613.463.792.966;817.765.365.396.371;0.758123899471747;1;0.879061949735873;1;0.00152738556375461;0.897678631174138;0.928656090795261;0.628825706074625;26
way/498803481;0.485333333333333;262.599.992.752.075;463.800.001.144.409;363.120.867.544.263;;building;1;;;3;way/498803481;83.313.788.090.003;202.852.237.462.479;;;210.084.434.760.307;126.050.660.856.184;169.287.000.417.709;240.060.805.616.401;189.075.991.284.276;283.613.986.926.415;346.815.845.874.014;81.776.536.539.637;0.771077002206963;1;0.885538501103481;1;0.00551910135581521;0.897678631174145;0.908122546370861;0.628562326990487;27
way/498803252;0.485333333333333;262.599.992.752.075;463.800.001.144.409;343.503.149.314.286;;building;1;;;3;way/498803252;144.564.632.379.438;167.572.677.961.833;;;220.397.345.306.469;132.238.407.183.881;169.287.000.417.709;251.845.237.036.968;198.357.610.775.822;297.536.416.163.733;363.840.813.947.308;81.776.536.539.637;0.679200937084722;1;0.839600468542361;1;0.0057940663435311;0.897678631174145;0.984057584449879;0.628550564058375;28
way/498803477;0.485333333333333;262.599.992.752.075;463.800.001.144.409;360.993.588.225.532;;building;1;;;3;way/498803477;749.015.871.610.993;157.753.632.754.956;;;175.270.684.649.645;105.162.410.789.787;169.287.000.417.709;200.279.577.142.103;157.743.616.184.681;236.615.424.277.021;289.343.905.097.196;817.765.365.396.371;0.761114271020303;1;0.880557135510151;1;0.00459088983602412;0.897678631174138;0.917399421405392;0.628430053391395;29
way/497050036;0.485333333333333;262.599.992.752.075;463.800.001.144.409;36.449.201.654;;building;1;;;3;way/497050036;9.484.267.385.324;191.421.190.596.403;;;310.830.363.643.952;186.498.218.186.371;169.287.000.417.709;355.181.894.325.206;279.747.327.279.557;419.620.990.919.335;513.131.282.731.625;817.765.365.396.371;0.777498532628997;1;0.888749266314498;1;0.00820521047834879;0.897678631174138;0.895408628406128;0.62826376333529;30
way/498803470;0.485333333333333;262.599.992.752.075;463.800.001.144.409;3.613.121.186;;building;1;;;3;way/498803470;731.739.927.224.834;132.877.343.997.784;;;759.051.350.383.448;455.430.810.230.069;169.287.000.417.709;867.358.302.318.623;683.146.215.345.103;102.471.932.301.765;125.307.253.935.971;81.776.536.539.637;0.762606050904434;1;0.881303025452217;1;0.00194158467566636;0.897678631174145;0.919304591984749;0.62810750991571;31
way/498803469;0.485333333333333;262.599.992.752.075;463.800.001.144.409;3.614.507.383;;building;1;;;3;way/498803469;724.592.764.790.949;126.487.871.920.879;;;482.384.324.218.941;289.430.594.531.365;169.287.000.417.709;551.214.418.244.951;434.145.891.797.047;65.121.883.769.557;796.339.470.038.481;817.765.365.396.371;0.763255251409566;1;0.881627625704783;1;0.0012039292377548;0.897678631174138;0.920092772549039;0.628085590432119;32
way/497049915;0.485333333333333;262.599.992.752.075;463.800.001.144.409;3.632.376.032;;building;1;;;3;way/497049915;878.608.733.624.927;158.622.629.371.326;;;224.976.192.096.509;134.985.715.257.905;169.287.000.417.709;25.707.742.689.656;202.478.572.886.858;303.717.859.330.287;37.139.975.863.746;817.765.365.396.371;0.771623712715437;1;0.885811856357718;1;0.00591614851865914;0.897678631174138;0.903108074866821;0.627997609227292;33
way/496864409;0.485333333333333;262.599.992.752.075;463.800.001.144.409;349.576.668.917.392;;building;1;;;3;way/496864409;533.338.342.062.931;396.783.423.636.199;;;490.225.022.236.944;294.135.013.342.166;169.287.000.417.709;560.173.883.923.331;44.120.252.001.325;661.803.780.019.875;809.283.210.104.036;817.765.365.396.371;0.707645176931305;1;0.853822588465652;1;0.0129882685564272;0.897678631174138;0.941184082593156;0.627833329424556;34
way/498803479;0.485333333333333;262.599.992.752.075;463.800.001.144.409;361.085.674.775;;building;1;;;3;way/498803479;7.771.400.759.715;18.663.244.676.885;;;141.300.632.367.439;847.803.794.204.637;169.287.000.417.709;161.462.431.421.613;127.170.569.130.696;190.755.853.696.043;233.264.774.674.804;817.765.365.396.371;0.761545541860093;1;0.880772770930047;1;0.00368517316499556;0.897678631174131;0.914297917631254;0.627747021678938;35
way/501910617;0.485333333333333;262.389.398.600.092;463.645.561.862.466;339.943.389.992.857;;building;1;;;3;way/501910617;785.956.507.628.579;0;;;585.797.536.765.141;351.478.522.059.084;1.692.306.300.798;669.160.482.160.227;527.217.783.088.627;79.082.667.463.294;96.673.614.857.688;818.037.761.179.311;0.662529442703927;1;0.831264721351963;1;0.0155312422117453;0.887057710362424;0.991332565204435;0.627292750890907;36
way/498803476;0.485333333333333;262.599.992.752.075;463.800.001.144.409;3.610.044.968;;building;1;;;3;way/498803476;770.659.741.771.427;176.966.393.001.259;;;665.948.474.116.679;399.569.084.470.007;169.287.000.417.709;760.970.832.407.751;599.353.626.705.011;899.030.440.057.516;109.937.456.157.948;817.765.365.396.371;0.761165359372499;1;0.880582679686249;1;0.00169335183088003;0.897678631174138;0.915012561171799;0.627209148998837;37
way/1305984451;0.485333333333333;260.999.989.509.583;46.269.998.550.415;376.340.594.495.918;;roof;1;;;3;way/1305984451;823.525.077.474.994;365.089.221.002.751;;;349.776.643.308.435;209.865.985.985.061;168.885.494.709.015;398.737.359.738.925;314.798.978.977.591;472.198.468.466.387;576.055.863.614.825;819.709.507.864.881;0.832989222581941;1;0.91649461129097;1;0.00922148590013463;0.821875022976258;0.990918263488823;0.627090345008984;38
way/497049979;0.485333333333333;262.599.992.752.075;463.800.001.144.409;3.638.072.732;;building;1;;;3;way/497049979;878.626.506.785.085;124.866.583.627.219;;;597.741.904.856.924;358.645.142.914.154;169.287.000.417.709;683.032.055.156.076;537.967.714.371.231;806.951.571.556.847;986.776.410.083.983;817.765.365.396.371;0.774291659996799;1;0.887145829998399;1;0.00151149804290519;0.897678631174138;0.903106114863879;0.627009413494295;39
way/497049990;0.485333333333333;262.599.992.752.075;463.800.001.144.409;362.484.679.355.789;;building;1;;;3;way/497049990;991.289.860.634.574;152.402.482.267.799;;;386.069.391.904.882;231.641.635.142.929;169.287.000.417.709;441.156.572.833.499;347.462.452.714.393;52.119.367.907.159;637.338.900.772.556;817.765.365.396.371;0.768097528919144;1;0.884048764459572;1;0.0102112492575004;0.897678631174138;0.890681734330578;0.626981415393971;40
way/497546927;0.485333333333333;262.599.992.752.075;463.800.001.144.409;335.919.465.995.266;;building;1;;;3;way/497546927;141.462.053.798.057;197.670.328.261.075;Wisma 47 Cideng;;537.276.290.401.166;322.365.774.240.699;169.287.000.417.709;61.393.876.828.358;483.548.661.361.049;725.322.992.041.574;886.957.338.539.288;81.776.536.539.637;0.643684116304821;1;0.82184205815241;1;0.0142427593536549;0.897678631174145;0.984399733122118;0.62669689166476;41
way/501910735;0.485333333333333;262.599.992.752.075;463.800.001.144.409;345.594.290.333.334;;building;1;;;3;way/501910735;361.812.445.446.957;277.011.575.291.693;;;281.136.945.673.467;16.868.216.740.408;169.287.000.417.709;32.125.160.411.769;25.302.325.110.612;37.953.487.665.918;464.112.192.468.826;81.776.536.539.637;0.688994421025797;1;0.844497210512898;1;0.00741351832985671;0.897678631174145;0.96009975426506;0.626666910619184;42
way/498803251;0.485333333333333;262.599.992.752.075;463.800.001.144.409;340.053.661.828.571;;building;1;;;3;way/498803251;109.779.820.543.098;182.090.280.406.691;;;151.502.409.860.379;909.014.459.162.276;169.287.000.417.709;173.119.872.518.897;136.352.168.874.341;204.528.253.311.512;25.010.627.982.805;817.765.365.396.371;0.663045881070533;1;0.831522940535266;1;0.00395717509989748;0.897678631174131;0.987893612086792;0.626555518829044;43
way/494063858;0.485333333333333;260.999.989.509.583;46.269.998.550.415;371.972.041.603.774;;building;1;;;3;way/494063858;708.926.817.890.395;0;;;561.005.561.869.872;336.603.337.121.923;168.885.494.709.015;63.953.348.749.359;504.905.005.682.885;757.357.508.524.327;923.934.029.381.989;819.709.507.864.881;0.812529888560347;1;0.906264944280174;1;0.014839958437939;0.821875022976258;0.992182039452244;0.626408036412139;44
way/497049855;0.485333333333333;262.494.110.184.557;463.727.205.991.745;36.131.838.497;;building;1;;;3;way/497049855;820.858.171.689.681;120.485.238.039.919;;;212.912.455.581.248;127.747.473.348.749;169.260.430.186.987;243.254.163.310.986;191.621.210.023.123;287.431.815.034.684;351.429.289.735.381;817.893.736.891.181;0.76263539832453;1;0.881317699162265;1;0.00559361165910668;0.892673327985705;0.909476738083203;0.62623101739649;45
way/501910618;0.485333333333333;262.409.666.140.945;463.660.425.069.381;34.040.083.372.126;;building;1;;;3;way/501910618;114.358.398.541.359;11.333.437.748.731;;;438.389.144.987.976;263.033.486.992.785;169.236.055.150.324;500.790.934.249.797;394.550.230.489.178;591.825.345.733.767;723.492.662.710.682;818.011.537.969.712;0.664671798368729;1;0.832335899184364;1;0.011602691989787;0.888080173447445;0.987388691956083;0.626097138220673;46
way/497050011;0.485333333333333;262.599.992.752.075;463.800.001.144.409;3.638.072.732;;building;1;;;3;way/497050011;937.587.152.511.537;132.434.236.578.735;;;502.402.363.893.634;30.144.141.833.618;169.287.000.417.709;574.088.777.007.658;45.216.212.750.427;678.243.191.256.405;829.386.056.142.964;81.776.536.539.637;0.774291659996799;1;0.887145829998399;1;0.00125730175571286;0.897678631174145;0.896604005047645;0.625957838135704;47
way/501910619;0.485333333333333;262.471.802.994.096;463.705.993.148.516;3.405.989.174;;building;1;;;3;way/501910619;156.716.066.268.132;208.704.842.343.821;;;350.809.291.824.344;210.485.575.094.606;169.252.687.499.208;400.784.054.226.508;315.728.362.641.909;473.592.543.962.864;579.012.723.141.036;817.931.152.520.643;0.665599487754123;1;0.832799743877061;1;0.0092692412227762;0.891214463852993;0.982717538787293;0.62575267831009;48
way/1305984446;0.485333333333333;260.999.989.509.583;46.269.998.550.415;375.527.974.509.091;;building;1;;;3;way/1305984446;813.286.434.084.488;404.434.731.294.962;;;235.793.792.706.121;141.476.275.623.673;168.885.494.709.015;268.799.521.480.796;212.214.413.435.509;318.321.620.153.264;388.334.668.683.305;819.709.507.864.881;0.829183462607506;1;0.914591731303753;1;0.00618965900705941;0.821875022976251;0.991031174029191;0.62572201352531;49
way/497049980;0.485333333333333;262.599.992.752.075;463.800.001.144.409;341.199.213.695.413;;building;1;;;3;way/497049980;696.624.554.239.679;592.910.702.627.504;;;114.528.843.982.821;687.173.063.896.929;169.287.000.417.709;130.870.650.099.328;103.075.959.584.539;154.613.939.376.809;189.068.828.198.499;817.765.365.396.371;0.668410867797584;1;0.834205433898792;1;0.0304537070245376;0.897678631174138;0.92317707351161;0.625467620961042;50
way/493578053;0.485333333333333;260.999.989.509.583;46.269.998.550.415;36.602.870.717.796;;commercial;3;;;9;way/493578053;693.734.547.077.106;744.750.812.931.497;BIGNET;;85.964.762.248.246;515.788.573.489.476;168.885.494.709.015;979.978.594.489.056;773.682.860.234.214;116.052.429.035.132;141.577.507.545.834;819.709.507.864.881;0.784695347644422;1;0.892347673822211;1;0.0227835308787415;0.821875022976251;0.992349578006086;0.625336921312963;51
way/1305984448;0.485333333333333;260.999.989.509.583;46.269.998.550.415;375.716.631.457.143;;building;1;;;3;way/1305984448;793.424.394.844.919;307.172.844.009.072;;;147.026.311.099.999;882.157.866.599.993;168.885.494.709.015;167.606.626.176.213;132.323.679.989.999;198.485.519.984.998;242.141.292.836.774;819.709.507.864.881;0.830067003590296;1;0.915033501795148;1;0.00382853506129155;0.821875022976258;0.991250210233288;0.625156974395045;52
way/1305984447;0.485333333333333;260.999.989.509.583;46.269.998.550.415;37.530.692.327.907;;building;1;;;3;way/1305984447;803.784.243.430.533;357.818.434.122.225;;;149.123.543.559.583;894.741.261.357.501;168.885.494.709.015;169.997.423.131.046;134.211.189.203.625;201.316.783.805.438;245.595.277.197.422;819.709.507.864.881;0.828148208814649;1;0.914074104407324;1;0.00388431929320362;0.821875022976251;0.991135963056458;0.624916723241136;53
way/493578172;0.485333333333333;260.999.989.509.583;46.269.998.550.415;365.644.345.016;;building;1;;;3;way/493578172;749.123.830.328.991;16.520.973.306.054;;;819.979.932.081.455;491.987.959.248.873;168.885.494.709.015;934.758.336.247.027;73.798.193.887.331;110.697.290.830.996;135.044.536.837.608;819.709.507.864.881;0.782895256389734;1;0.891447628194867;1;0.0217284110084415;0.821875022976258;0.99173875158465;0.624703749981824;54
way/501910630;0.485333333333333;262.599.992.752.075;463.800.001.144.409;340.617.273.433.334;;building;1;;;3;way/501910630;371.565.560.878.323;133.498.156.283.333;;;396.251.154.765.066;237.750.692.859.039;169.287.000.417.709;452.791.143.465.062;356.626.039.288.559;534.939.058.932.838;654.147.364.963.976;817.765.365.396.371;0.6656854549443;1;0.83284272747215;1;0.0104827175580587;0.897678631174131;0.959024192306676;0.624512715333696;55
way/497049946;0.485333333333333;262.599.992.752.075;463.800.001.144.409;361.498.685.525;;building;1;;;3;way/497049946;993.807.418.714.521;181.453.881.912.656;;;128.820.361.170.355;772.922.167.022.127;169.287.000.417.709;147.201.384.612.973;115.938.325.053.319;173.907.487.579.979;212.661.840.350.362;817.765.365.396.371;0.763479803639081;1;0.88173990181954;1;0.00335242155224404;0.897678631174131;0.890404101022752;0.62430490642621;56
way/494064086;0.485333333333333;260.999.989.509.583;46.269.998.550.415;3.741.035.558;;building;1;;;3;way/494064086;841.947.404.572.525;160.096.732.245.667;;;165.899.154.815.993;995.394.928.895.959;168.885.494.709.015;189.121.235.622.119;149.309.239.334.394;223.963.859.001.591;273.223.449.103.275;819.709.507.864.881;0.822512453036282;1;0.911256226518141;1;0.00433053334282774;0.821875022976251;0.990715104258827;0.624282989164083;57
way/497049995;0.485333333333333;262.599.992.752.075;463.800.001.144.409;36.151.871.892;;building;1;;;3;way/497049995;101.865.607.466.248;188.028.389.460.736;;;167.332.549.000.408;100.399.529.400.245;169.287.000.417.709;191.208.770.724.567;150.599.294.100.367;225.898.941.150.551;276.239.311.065.782;817.765.365.396.371;0.763573626451809;1;0.881786813225904;1;0.0043792415955483;0.897678631174138;0.887663820827908;0.624213638261568;58
way/496864435;0.485333333333333;262.599.992.752.075;463.800.001.144.409;351.109.918.213.793;;building;1;;;3;way/496864435;666.196.845.941.386;535.764.901.050.703;;;19.782.294.642.114;118.693.767.852.684;169.287.000.417.709;226.049.759.190.639;178.040.651.779.026;267.060.977.668.539;326.574.087.102.717;817.765.365.396.371;0.714825875040711;1;0.857412937520355;1;0.0051921829775876;0.897678631174131;0.926532604957615;0.624194369369246;59
way/494063899;0.485333333333333;260.999.989.509.583;46.269.998.550.415;370.319.867.233.334;;building;1;;;3;way/494063899;647.529.022.715.049;261.615.863.930.584;;;384.853.284.412.886;230.911.970.647.732;168.885.494.709.015;438.723.926.967.102;346.367.955.971.598;519.551.933.957.396;633.824.457.289.372;819.709.507.864.881;0.804792226194502;1;0.902396113097251;1;0.0101544885690209;0.821875022976258;0.992859127027839;0.624136750792072;60
way/493578074;0.485333333333333;260.999.989.509.583;46.269.998.550.415;371.462.167.883.871;;building;1;;;3;way/493578074;789.030.652.611.044;195.836.875.910.011;;;321.546.298.606.239;192.927.779.163.743;168.885.494.709.015;366.555.413.555.779;289.391.668.745.615;434.087.503.118.422;529.562.605.964.034;819.709.507.864.881;0.810141986433058;1;0.905070993216529;1;0.00847058769205662;0.821875022976258;0.991298663899555;0.62406623108956;61
way/494064014;0.485333333333333;261.100.006.103.516;46.269.998.550.415;368.045.618;;building;1;;;3;way/494064014;979.858.102.070.468;242.846.868.874.052;;;57.825.461.771.068;346.952.770.626.408;168.885.494.709.015;659.197.015.963.923;520.429.155.939.612;780.643.733.909.418;95.234.192.896.308;819.709.507.864.881;0.794141187770129;1;0.897070593885064;1;0.0152987656278099;0.821875022976265;0.989194241505516;0.623798921278316;62
